d-step 1 epoch 1 :  average_loss = 0.0995, train_acc = 2255.1631, val_acc = 0.8400
d-step 9 epoch 3 :  average_loss = 0.0344, train_acc = 2257.0878, val_acc = 0.8850
d-step 10 epoch 1 :  average_loss = 0.0885, train_acc = 2255.5752, val_acc = 0.9200
d-step 10 epoch 2 :  average_loss = 0.0429, train_acc = 2256.8818, val_acc = 0.9050
d-step 10 epoch 3 :  average_loss = 0.0340, train_acc = 2257.0944, val_acc = 0.8850
d-step 11 epoch 1 :  average_loss = 0.0976, train_acc = 2255.2887, val_acc = 0.9100
d-step 11 epoch 2 :  average_loss = 0.0474, train_acc = 2256.7656, val_acc = 0.8900
d-step 11 epoch 3 :  average_loss = 0.0366, train_acc = 2257.0317, val_acc = 0.8900
d-step 12 epoch 1 :  average_loss = 0.0934, train_acc = 2255.3497, val_acc = 0.9000
d-step 12 epoch 2 :  average_loss = 0.0457, train_acc = 2256.7867, val_acc = 0.9000
d-step 12 epoch 3 :  average_loss = 0.0361, train_acc = 2257.0378, val_acc = 0.8900
d-step 13 epoch 1 :  average_loss = 0.0886, train_acc = 2255.5035, val_acc = 0.9050
d-step 13 epoch 2 :  average_loss = 0.0445, train_acc = 2256.8194, val_acc = 0.8900
d-step 13 epoch 3 :  average_loss = 0.0356, train_acc = 2257.0490, val_acc = 0.8750
d-step 14 epoch 1 :  average_loss = 0.0863, train_acc = 2255.5651, val_acc = 0.8900
d-step 14 epoch 2 :  average_loss = 0.0407, train_acc = 2256.9288, val_acc = 0.8800
d-step 14 epoch 3 :  average_loss = 0.0331, train_acc = 2257.1237, val_acc = 0.8850
d-step 15 epoch 1 :  average_loss = 0.0860, train_acc = 2255.5955, val_acc = 0.8900
d-step 15 epoch 2 :  average_loss = 0.0419, train_acc = 2256.9058, val_acc = 0.8850
d-step 15 epoch 3 :  average_loss = 0.0345, train_acc = 2257.0878, val_acc = 0.8800
d-step 16 epoch 1 :  average_loss = 0.0788, train_acc = 2255.8449, val_acc = 0.9100
d-step 16 epoch 2 :  average_loss = 0.0408, train_acc = 2256.9185, val_acc = 0.8850
d-step 16 epoch 3 :  average_loss = 0.0340, train_acc = 2257.0936, val_acc = 0.8800
d-step 17 epoch 1 :  average_loss = 0.0918, train_acc = 2255.3537, val_acc = 0.9000
d-step 17 epoch 2 :  average_loss = 0.0419, train_acc = 2256.8961, val_acc = 0.9100
d-step 17 epoch 3 :  average_loss = 0.0336, train_acc = 2257.1076, val_acc = 0.9050
d-step 18 epoch 1 :  average_loss = 0.0868, train_acc = 2255.5041, val_acc = 0.8650
d-step 18 epoch 2 :  average_loss = 0.0423, train_acc = 2256.8811, val_acc = 0.8850
d-step 18 epoch 3 :  average_loss = 0.0345, train_acc = 2257.0865, val_acc = 0.8700
d-step 19 epoch 1 :  average_loss = 0.0725, train_acc = 2255.9423, val_acc = 0.8750
d-step 19 epoch 2 :  average_loss = 0.0380, train_acc = 2256.9777, val_acc = 0.8750
d-step 19 epoch 3 :  average_loss = 0.0326, train_acc = 2257.1246, val_acc = 0.8900
d-step 20 epoch 1 :  average_loss = 0.0822, train_acc = 2255.6790, val_acc = 0.8900
d-step 20 epoch 2 :  average_loss = 0.0423, train_acc = 2256.8619, val_acc = 0.8850
d-step 20 epoch 3 :  average_loss = 0.0352, train_acc = 2257.0496, val_acc = 0.8900

Train time: 2.3064108416106968
